 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,231.543,0.000,0,0,0.000,0
2,149.853,31029.113,26699,38836,4649791.728,44340602
3,373.530,0.000,0,0,0.000,0
4,129.509,32105.249,24272,43690,4157908.432,39649983
5,121.644,26910.684,18204,38836,3273517.364,31216394
6,140.310,39954.982,25486,65535,5606075.842,53459766
7,124.475,0.000,0,0,0.000,0
8,79.593,0.000,0,0,0.000,0
9,9.438,0.000,0,0,0.000,0
10,95.847,38870.228,26699,58254,3725591.160,35527388
11,0.105,0.000,0,0,0.000,0
12,136.010,0.000,0,0,0.000,0
13,115.562,0.000,0,0,0.000,0
14,111.262,29738.632,21845,46117,3308783.049,31552689
15,120.805,37885.405,19418,61895,4576740.863,43643986
16,100.566,28916.523,19418,44904,2908014.720,27730946
17,104.551,39036.535,29127,50972,4081298.229,38919425
18,108.116,31167.791,20631,49758,3369741.683,32133993
19,37.961,0.000,0,0,0.000,0
20,189.911,32432.539,26699,40049,6159299.481,58735329
21,260.800,0.000,0,0,0.000,0
22,149.643,0.000,0,0,0.000,0
23,106.858,0.000,0,0,0.000,0
24,218.225,0.000,0,0,0.000,0
25,129.404,0.000,0,0,0.000,0
26,108.640,31742.577,26699,40049,3448528.786,32885310
27,121.644,24363.037,20631,29127,2963611.904,28261123
